Date,Open,High,Low,Close,AdjustedClose,Volume,Dividend,Split
2005-01-03,50.7391,51.5952,50.6039,51.0094,35.2751,667503,0.0,1.0
2005-01-04,51.0094,51.0094,50.6039,50.7391,35.0881,715871,0.0,1.0
2005-01-05,50.1082,50.4687,49.8378,49.973,34.5584,1362790,0.0,1.0
2005-01-06,50.1082,50.6489,49.8829,50.1533,34.683,885310,0.0,1.0
2005-01-07,50.0181,50.9193,49.928,50.5138,34.9323,1165939,0.0,1.0
2005-01-10,50.6489,50.6489,49.8829,50.1983,34.7142,1035103,0.0,1.0
2005-01-11,50.1983,50.2434,49.4323,49.5675,34.2779,1297237,0.0,1.0
2005-01-12,49.8378,49.8378,48.3959,48.6662,33.6547,1623205,0.0,1.0
2005-01-13,48.9366,49.2971,48.8465,49.1169,33.9663,1015257,0.0,1.0
2005-01-14,48.8014,49.4323,48.7564,49.3872,34.1533,931945,0.0,1.0
2005-01-17,49.6125,50.1082,49.3872,49.928,34.5272,844273,0.0,1.0
2005-01-18,49.928,49.973,48.9366,49.4323,34.1844,1681410,0.0,1.0
2005-01-19,49.6576,49.8829,49.1619,49.7928,34.4337,1640820,0.0,1.0
2005-01-20,48.4409,48.9817,48.0804,48.9366,33.8417,3355661,0.0,1.0
2005-01-21,48.486,49.0267,48.3057,48.7564,33.717,1205397,0.0,1.0
2005-01-24,48.3057,48.486,47.8551,48.2607,33.3742,1229521,0.0,1.0
2005-01-25,48.0804,48.8915,48.0354,48.7113,33.6859,1677405,0.0,1.0
2005-01-26,48.6212,48.8014,48.3057,48.5761,33.5924,1307272,0.0,1.0
2005-01-27,48.5311,48.7564,48.3959,48.4409,33.4989,2009240,0.0,1.0
2005-01-28,48.5761,48.6212,47.9903,48.0804,33.2496,1397589,0.0,1.0
2005-01-31,48.3508,48.486,47.9002,48.0354,33.2184,2057948,0.0,1.0
2005-02-01,47.8551,49.2971,47.72,49.0718,33.9352,2543231,0.0,1.0
2005-02-02,49.207,49.7026,49.1619,49.5675,34.2779,2058307,0.0,1.0
2005-02-03,49.6576,49.7928,48.8915,49.207,34.0286,1131080,0.0,1.0
2005-02-04,49.4773,49.4773,48.8014,49.0267,33.904,1084251,0.0,1.0
2005-02-07,49.1619,49.5224,49.1169,49.3422,34.1221,974911,0.0,1.0
2005-02-08,49.4323,50.0631,49.3872,50.0181,34.5896,1575167,0.0,1.0
2005-02-09,50.1082,50.1082,49.4323,49.5675,34.2779,1201164,0.0,1.0
2005-02-10,49.7477,50.0631,49.4773,49.8378,34.4649,1255251,0.0,1.0
2005-02-11,49.973,50.8742,49.928,50.6039,34.9947,1985768,0.0,1.0
2005-02-14,50.6489,50.9644,50.4236,50.6039,34.9947,1125815,0.0,1.0
2005-02-15,50.694,50.8742,50.2434,50.8742,35.1816,973849,0.0,1.0
2005-02-16,50.7391,50.7391,49.973,50.6489,35.0258,1665858,0.0,1.0
2005-02-17,50.6489,50.7841,50.3335,50.3335,34.8077,981505,0.0,1.0
2005-02-18,50.1983,51.6403,50.1983,51.5502,35.6491,2834477,0.0,1.0
2005-02-21,51.2798,52.0458,50.9644,51.1897,35.3998,1344400,0.0,1.0
2005-02-22,51.3699,51.3699,50.6489,50.8292,35.1505,1438234,0.0,1.0
2005-02-23,50.5588,50.6489,49.7477,50.1983,34.7142,1366670,0.0,1.0
2005-02-24,50.2434,50.2434,49.5675,50.1533,34.683,976391,0.0,1.0
2005-02-25,50.3335,50.4687,50.0181,50.3786,34.8388,705521,0.0,1.0
2005-02-28,50.694,51.1446,50.3786,50.4236,34.87,857578,0.0,1.0
2005-03-01,50.4236,50.8742,50.1983,50.7391,35.0881,972911,0.0,1.0
2005-03-02,50.9193,50.9193,50.2884,50.8742,35.1816,961878,0.0,1.0
2005-03-03,50.6489,51.0094,50.3786,50.6489,35.0258,906780,0.0,1.0
2005-03-04,50.8742,52.0458,50.5588,51.9107,35.8983,2239628,0.0,1.0
2005-03-07,51.9107,52.5415,51.8205,52.181,36.0853,1281348,0.0,1.0
2005-03-08,51.9557,52.2261,51.6853,52.181,36.0853,1247781,0.0,1.0
2005-03-09,52.3162,52.4063,51.5502,51.5502,35.6491,1355492,0.0,1.0
2005-03-10,51.5051,51.6853,51.1897,51.3699,35.5244,1221005,0.0,1.0
2005-03-11,51.6403,52.181,51.3699,51.46,35.5867,821563,0.0,1.0
2005-03-14,51.3699,52.2261,51.3699,51.8205,35.836,922881,0.0,1.0
2005-03-15,52.0909,52.2711,51.7304,51.7304,35.7737,784787,0.0,1.0
2005-03-16,51.6853,51.9557,51.0094,51.0094,35.2751,1299620,0.0,1.0
2005-03-17,51.2347,51.3699,50.9193,51.2347,35.4309,925595,0.0,1.0
2005-03-18,51.3699,51.8205,51.1897,51.5952,35.6802,1203636,0.0,1.0
2005-03-21,51.5952,51.7755,51.0094,51.2347,35.4309,804691,0.0,1.0
2005-03-22,51.3249,51.5051,50.694,51.0996,35.3374,963443,0.0,1.0
2005-03-23,50.7391,51.2347,50.6039,50.8292,35.1505,874170,0.0,1.0
2005-03-24,51.0996,51.46,50.6489,51.2347,35.4309,865055,0.0,1.0
2005-03-29,50.9193,51.6853,50.694,51.5502,35.6491,906381,0.0,1.0
2005-03-30,51.2798,51.7304,50.9644,51.3699,35.5244,944272,0.0,1.0
2005-03-31,51.8205,52.3613,51.6853,52.0008,35.9607,1309232,0.0,1.0
2005-04-01,51.9107,52.181,51.6853,51.7755,35.8049,1080479,0.0,1.0
2005-04-04,51.3699,51.6403,50.7391,51.0094,35.2751,1058732,0.0,1.0
2005-04-05,51.2798,51.415,51.0094,51.3699,35.5244,1533533,0.0,1.0
2005-04-06,51.46,52.181,51.2798,52.0909,36.023,1984397,0.0,1.0
